Director
Scot Armstrong
Jon M. Chu
Eli Roth
Billy Ray
Nima Nourizadeh
Paul W.S. Anderson
Michael Dowse
Aamir Khan
Patrick Tatopoulos
Ava DuVernay
Olivier Assayas
Pascal Laugier
Shana Feste
Steven Quale
David Gordon Green
Boaz Yakin
Luke Greenfield
Julie Taymor
Will Gluck
Patricia Riggen
Pedro Almodóvar
Jeremy Gillespie
Xavier Dolan
Lisa Addario
Gilles Paquet-Brenner
Kirk Jones
Mira Nair
Wes Craven
Adam Shankman
D.J. Caruso
John Luessenhop
Gore Verbinski
Makoto Shinkai
Micheal Bafaro
Robert Zemeckis
Jérôme Salle
David Lynch
James Lapine
Steven R. Monroe
Justin Chadwick
Patricia Rozema
Danny Boyle
Paul McGuigan
Shane Black
McG
David Ayer
Scott Stewart
Tom Gormican
Paul W.S. Anderson
Jordan Vogt-Roberts
Michael Patrick King
Alexander Payne
Alfonso Gomez-Rejon
Justin Tipping
Joss Whedon
M. Night Shyamalan
Justin Kelly
Lee Daniels
Christopher Smith
David Twohy
Mark Mylod
Greg Kwedar
David Slade
Ryûhei Kitamura
Jason Reitman
Todd Phillips
Richie Smyth
James Gunn
Tom Six
Adam McKay
Anna Biller
Christopher Smith
Ido Fluk
R.J. Cutler
Craig Brewer
Paul Thomas Anderson
Tate Taylor
Chris McCoy
Gus Van Sant
Lee Daniels
Bill Condon
Bryan Singer
John Erick Dowdle
Burr Steers
Christopher Landon
Neil Marshall
Chris Weitz
Duncan Jones
Tom Tykwer
Gregory Wilson
Simon West
Hong-jin Na
George Tillman Jr.
James Ward Byrkit
Gabor Csupo
Oz Perkins
Matteo Garrone
Steven Soderbergh
Denis Villeneuve
James Gunn
Steven Soderbergh
Michael Showalter
James Franco
José Padilha
Dean DeBlois
Michael Dowse
David R. Ellis
Leslye Headland
Gary Winick
Gavin O'Connor
James Gray
Robert Luketic
Tarsem Singh
Peter Landesman
Robert Rodriguez
Sylvester Stallone
Michael Patrick King
Shawn Levy
Judd Apatow
Femi Oyeniran
Jonathan Levine
Quentin Tarantino
Alexandre Aja
Scott Hicks
Terrence Malick
Alejandro González Iñárritu
Drake Doremus
Carlos Saldanha
Wally Pfister
John Lee Hancock
Hideaki Anno
Jonathan Liebesman
James Cameron
Jon M. Chu
Woody Allen
Jonathan Levine
Juan Carlos Fresnadillo
Greg Berlanti
Lone Scherfig
Dan Bradley
James Wong
Hannes Holm
J.J. Abrams
Ben Affleck
David Bowers
Kyle Patrick Alvarez
James Schamus
Alexandre Aja
Alexandre Aja
Steven Knight
Miguel Arteta
Naoko Yamada
Allen Coulter
Clint Eastwood
Colin Trevorrow
Alexandre Aja
Richard LaGravenese
McG
Malcolm D. Lee
Mark Osborne
Woody Allen
Scott Cooper
John Carney
Robert Luketic
Brian Helgeland
James Wan
Nathan Morlando
Giuseppe Tornatore
Tim Johnson
Robert Zemeckis
Tony Scott
Ron Clements
Lars von Trier
Luca Guadagnino
Sean Anders
Aisling Walsh
David Fincher
Gee Malik Linton
Dennis Dugan
Cristian Mungiu
Erik Van Looy
Larry Charles
Andy Tennant
Cary Joji Fukunaga
David Bowers
Sylvester Stallone
Jason Friedberg
Martin Scorsese
Robert Rodriguez
Matthias Hoene
Farren Blackburn
Phil Claydon
Dito Montiel
Antonio Campos
Stephen Sommers
Terry Gilliam
Saul Dibb
John R. Leonetti
Matt Ross
John R. Leonetti
Danny Boyle
John Moore
Spike Lee
Wes Anderson
Woody Allen
Jaume Collet-Serra
Andrés Muschietti
François Simard
Mario Van Peebles
Christopher Nolan
Amma Asante
James Ponsoldt
Mike Newell
Rupert Wyatt
Mikael Håfström
Kenneth Branagh
Robert Zemeckis
Martin McDonagh
Kevin Smith
Edgar Wright
Paul Feig
Sean Foley
Scott Frank
Pierre Coffin
Werner Herzog
Ivan Reitman
Asger Leth
Claude Barras
Kevin Smith
Luc Besson
Jason Moore
Peter Berg
Gore Verbinski
Genndy Tartakovsky
Stewart Hendler
Jim Sheridan
Paul Greengrass
Chris Evans
Adam Leon
Bruce A. Evans
Tarsem Singh
Jaume Collet-Serra
Matt Brown
Quentin Tarantino
Hisonni Johnson
Tyler Shields
Rob Zombie
John Lasseter
Darren Aronofsky
M. Night Shyamalan
Dean DeBlois
Walter Hill
Marc Forster
Ben Wheatley
Joss Whedon
Jake Schreier
Steven Spielberg
Gavin Hood
Rajkumar Hirani
James DeMonaco
D.J. Caruso
Gavin Hood
Jon Favreau
Kirsten Sheridan
David O. Russell
Gore Verbinski
Marcus Nispel
Jamal Hill
Ed Gass-Donnelly
John Hillcoat
Filip Renc
McG
Martin McDonagh
Mike Flanagan
Gregory Hoblit
Thor Freudenthal
Byron Howard
Mike Flanagan
Warren Beatty
Chris Stokes
Seth MacFarlane
Max Joseph
Ethan Coen
Juan José Campanella
Jonathan Jakubowicz
Ben Falcone
Rob Cohen
David Frankel
Terrence Malick
Ridley Scott
Oz Perkins
Martin Scorsese
Bruce Beresford
Ron Howard
Simon Aboud
Greg Mottola
Shawn Levy
Adam Wingard
J.A. Bayona
Joe Carnahan
Neil Burger
Will Gluck
Tim Burton
Harald Zwart
Adam Wingard
Dennis Dugan
Jean-Marc Vallée
Lars von Trier
Nicholas Stoller
Robert Zemeckis
Darren Aronofsky
Bryan Bertino
Doug Ellin
George Miller
Bobby Farrelly
Denis Villeneuve
Jorge R. Gutiérrez
Michael Dudok de Wit
Michael Bay
John Crowley
Terry George
David Dobkin
John Krasinski
George Nolfi
Marcus Dunstan
George Tillman Jr.
Baz Luhrmann
Robert Schwentke
Seth MacFarlane
Michael Haneke
Caleb Vetter
Peter Berg
Damien Chazelle
Len Wiseman
Mike Cahill
Jamie Linden
Lasse Hallström
Ang Lee
Paul W.S. Anderson
Michael Grandage
Gauri Shinde
Paul W.S. Anderson
Tomas Alfredson
Robin Swicord
Lee Unkrich
Doug Liman
Steve McQueen
Tom Hooper
Gabriele Muccino
Harald Zwart
Whit Stillman
Lynne Ramsay
Francis Lawrence
Jee-woon Kim
George Miller
Ari Sandel
Christian Ditter
Mikael Håfström
Frank Darabont
John Michael McDonagh
Martin Campbell
Kathryn Bigelow
Daniel Espinosa
Atom Egoyan
Edward Zwick
Peter Berg
Michael Bay
Seth MacFarlane
Alejandro Amenábar
Joe Wright
Mia Hansen-Løve
Paul Feig
Ben Affleck
Jon Kasdan
David Gordon Green
Simon Stone
Matthew Vaughn
David Cronenberg
Jonathan Liebesman
Richard Linklater
Michael Mann
Hope Dickson Leach
Akiva Schaffer
James Wan
Afonso Poyart
Tim Burton
Mark Waters
Christopher Nolan
Julia Leigh
Jonathan Holbrook
John Wells
Clint Eastwood
Henry Joost
François Ozon
Frank Coraci
Damián Szifron
Gabriele Muccino
Jon Hurwitz
Sam Taylor-Johnson
Levan Gabriadze
John Hillcoat
Duncan Jones
Judd Apatow
Andrew Stanton
Michael Goi
Bong Joon Ho
Evan Goldberg
Edward Zwick
Shawn Levy
Tate Taylor
Courtney Hunt
Will Slocombe
Brett Ratner
Len Wiseman
Olivier Megaton
Marcus Nispel
Lars von Trier
Måns Mårlind
Rick Famuyiwa
Ben Stiller
André Øvredal
Paco Cabezas
Gary Ross
Joey Curtis
James Watkins
Joseph Gordon-Levitt
Andrew Dominik
Peter Jackson
Maren Ade
Richard LaGravenese
Guillermo del Toro
Zack Snyder
Xavier Dolan
Seth Gordon
Debra Granik
John Butler
Zackary Adler
Alessandro Carloni
Ken Kwapis
Jean-François Richet
Ruben Fleischer
Tom McGrath
Clint Eastwood
Yimou Zhang
Duncan Jones
Louis Leterrier
Jeff Wadlow
Matt Reeves
Sean Anders
Andy Fickman
Michaël R. Roskam
Anne Fontaine
Niels Arden Oplev
Mark Andrews
Lone Scherfig
Danny Boyle
Tarsem Singh
Angelina Jolie
Mark Steven Johnson
Bennett Miller
Kirk Jones
Jake Kasdan
M. Night Shyamalan
John Stockwell
Andrew Jarecki
Thea Sharrock
Francis Lawrence
Joseph Kosinski
Craig Gillespie
Louis Leterrier
Ben Younger
Jonathan Dayton
Nancy Meyers
Kevin Lima
Nick Cassavetes
Jodie Foster
Fede Alvarez
Tom Tykwer
Jason Reitman
Michael Bay
Joe Wright
Rupert Sanders
Rich Moore
Scott Derrickson
Fede Alvarez
Sylvester Stallone
Mike Judge
Martin Scorsese
Ron Howard
Gary Shore
Joel Edgerton
Rob Cohen
Florian Gallenberger
Stephen Fingleton
Josh Trank
Jeff Nichols
Peyton Reed
Ken Loach
Christopher Nolan
Philippe Falardeau
Tim Burton
Mike Birbiglia
Jeff Nichols
Mora Stephens
Richard LaGravenese
Nic Mathieu
Neil Burger
Roman Polanski
Ewan McGregor
Chad Stahelski
Alexandros Avranas
Steven Brill
Christopher McQuarrie
Scott Waugh
Terence Davies
Luc Besson
Tony Scott
Simon Verhoeven
Ridley Scott
Tony Gilroy
Garry Marshall
Gareth Edwards
Eli Roth
Neill Blomkamp
George Nolfi
David Schwimmer
Glenn Ficarra
Andrey Kravchuk
Ridley Scott
Sean Ellis
Biyi Bandele
Anna Foerster
Peter Jackson
Neill Blomkamp
Ridley Scott
Will Gluck
Gregory Jacobs
S. Craig Zahler
M. Night Shyamalan
Antoine Fuqua
Mark Herman
Alfonso Cuarón
J.J. Abrams
Elizabeth Banks
Marc Webb
Oliver Stone
Pete Travis
Jaco Van Dormael
Paolo Sorrentino
Daniel Ragussis
Todd Haynes
Wes Ball
Pete Docter
Sean Penn
David Ayer
F. Gary Gray
J.J. Abrams
Barry Sonnenfeld
Francis Lawrence
Jonathan Glazer
Ericson Core
Matt Reeves
Albert Hughes
Jim Mickle
Brad Bird
Justin Lin
Glenn Ficarra
Lasse Hallström
Adam Shankman
Wes Anderson
Clay Kaytis
Paolo Genovese
John Hillcoat
Phillip Noyce
Nicholas Stoller
Justin Kurzel
Scott Hicks
Amber Tamblyn
Carles Torrens
Florian Henckel von Donnersmarck
Dexter Fletcher
Ben Affleck
David Yates
Roland Emmerich
Sofia Coppola
Ridley Scott
Adam McKay
John Madden
Neill Blomkamp
Denis Villeneuve
Phillip Noyce
Guy Ritchie
Rob Letterman
Michael Spierig
Mick Jackson
William Brent Bell
Ben Affleck
Sam Mendes
Rob Marshall
Dennis Dugan
Etan Cohen
Anne Fletcher
Thomas Vinterberg
D.J. Caruso
Antoine Fuqua
Christian Alvart
Jean-Marc Vallée
Jon Favreau
Kimberly Peirce
Ricardo de Montreuil
Don Hall
Taika Waititi
Pete Travis
Christophe Gans
Michael J. Gallagher
Derek Cianfrance
Henry Selick
John Crowley
Sam Raimi
Jeff Grace
John Lee Hancock
Jeff Wadlow
J.A. Bayona
George Tillman Jr.
Jon S. Baird
Corey Asraf
Brad Bird
Marc Forster
Ben Stiller
Rajkumar Hirani
James DeMonaco
Shawn Burkett
Srdjan Spasojevic
Paul Greengrass
Frank Miller
David Fincher
Babak Najafi
Noam Murro
Burr Steers
David Ross
Joe Wright
Steve McQueen
Barry Jenkins
David Yates
Joe Wright
Mark Williams
Kevin Smith
Dennis Gansel
Paul Verhoeven
Dan Scanlon
Elizabeth Banks
Pierre Morel
John Francis Daley
Greg Tiernan
Francis Lawrence
Nathan Greno
Kathryn Bigelow
Karyn Kusama
Michael Hoffman
Pierre Coffin
Nicolas Winding Refn
Rolfe Kanefsky
Kyle Balda
Steven Soderbergh
Patrick Read Johnson
Christophe Lourdelet
Terry Jones
Peter Billingsley
Louis Leterrier
Lee Toland Krieger
Dennis Dugan
Gillies MacKinnon
Danny Boyle
Pierre Morel
Peter Atencio
Andrew Stanton
Antoine Fuqua
James Mangold
Ridley Scott
Chris Columbus
Baltasar Kormákur
Phil Lord
Steven Spielberg
Mike Flanagan
Antoine Fuqua
Jemaine Clement
Patrick Hughes
Scott Derrickson
Dan Kwan
Ryan Coogler
Scott Cooper
Eran Creevy
Stephen Frears
Timur Bekmambetov
Ariel Vromen
Wes Ball
J.D. Dillard
Timur Bekmambetov
Christopher Nolan
Marc Webb
Alex Ranarivelo
Bill Condon
Danny Boyle
Ethan Coen
Ruben Fleischer
J.J. Abrams
Jon Watts
Adam McKay
Richard Curtis
Anthony Russo
Evan Goldberg
James Marsh
Hugo Gélin
Sergei Bodrov
Robert Schwentke
Woody Allen
Jocelyn Moorhouse
David O. Russell
William Oldroyd
Woody Allen
Paul W.S. Anderson
Karyn Kusama
David O. Russell
Matthew Vaughn
Paul W.S. Anderson
Sam Raimi
David Lowery
Roland Emmerich
Rian Johnson
Justin Lin
Frank Coraci
Tim Miller
Josh Boone
